The United States of America, Exposure to risk (period 1x5), 	Last modified: 02 Oct 2019;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1933-1934       58            969348.30      1037452.74      2006801.04
1933-1934       59            924099.10       985248.64      1909347.74
1933-1934       60            880356.18       934846.86      1815203.04
1933-1934       61            839384.94       888003.50      1727388.44
1933-1934       62            800943.69       844650.51      1645594.20
1933-1934       63            763739.93       803174.52      1566914.45
1933-1934       64            726997.06       762303.64      1489300.69
1933-1934       65            689922.87       720874.35      1410797.22
1933-1934       66            651375.45       677539.76      1328915.21
1933-1934       67            611331.40       632213.26      1243544.66
1933-1934       68            570842.04       586185.43      1157027.47
1933-1934       69            530744.56       540739.78      1071484.34
1933-1934       70            491928.56       497174.81       989103.37
1933-1934       71            455525.45       457029.84       912555.29
1933-1934       72            421900.71       420738.67       842639.38
1933-1934       73            390347.66       387222.56       777570.22
1933-1934       74            360701.91       355820.59       716522.51
1933-1934       75            338197.83       331036.57       669234.40
1933-1934       76            303057.84       293839.55       596897.39
1933-1934       77            268663.64       257468.98       526132.62
1933-1934       78            235571.96       222719.86       458291.82
1933-1934       79            204614.90       190458.32       395073.22
1933-1934       80            181788.50       161993.07       343781.57
1933-1934       81            155951.99       136168.52       292120.51
1933-1934       82            133130.24       113730.41       246860.65
1933-1934       83            112895.22        94264.76       207159.98
1933-1934       84             94753.49        77283.10       172036.60
1933-1934       85             78440.36        62468.38       140908.74
1933-1934       86             64023.81        49775.61       113799.42
1933-1934       87             51447.28        39022.49        90469.77
1933-1934       88             40725.96        30082.92        70808.89
1933-1934       89             31807.17        22809.29        54616.46
1933-1934       90             24497.35        17017.38        41514.73
1933-1934       91             18684.79        12562.56        31247.34
1933-1934       92             14121.25         9190.35        23311.60
1933-1934       93             10553.69         6683.76        17237.45
1933-1934       94              7794.23         4835.04        12629.26
1933-1934       95              5707.59         3451.23         9158.82
1933-1934       96              4180.65         2433.69         6614.34
1933-1934       97              3070.02         1716.55         4786.57
1933-1934       98              2290.38         1261.51         3551.90
1933-1934       99              1757.89          978.99         2736.88
1933-1934      100              1310.67          716.93         2027.60
1933-1934      101               916.38          482.50         1398.88
1933-1934      102               622.53          321.62          944.15
1933-1934      103               416.76          211.04          627.79
1933-1934      104               275.46          135.42          410.87
1933-1934      105               179.70           85.65          265.35
1933-1934      106               114.89           53.65          168.54
1933-1934      107                72.11           33.42          105.53
1933-1934      108                45.27           20.25           65.53
1933-1934      109                28.33           11.39           39.73
1933-1934      110+               32.73           10.83           43.56
1935-1939        0           4869267.21      5057569.27      9926836.48
1935-1939        1           4802596.92      4936237.62      9738834.54
1935-1939        2           5119574.48      5244633.52     10364208.01
1935-1939        3           5159494.24      5287402.07     10446896.31
1935-1939        4           5189350.34      5307753.88     10497104.22
1935-1939        5           5359159.19      5531966.67     10891125.86
1935-1939        6           5465516.88      5648775.11     11114291.99
1935-1939        7           5563991.51      5762195.34     11326186.85
1935-1939        8           5664528.27      5869085.67     11533613.94
1935-1939        9           5760138.13      5959560.47     11719698.60
1935-1939       10           5865691.46      6050739.65     11916431.11
1935-1939       11           5964092.56      6124646.48     12088739.04
1935-1939       12           6047118.06      6179142.71     12226260.77
1935-1939       13           6114934.34      6218854.02     12333788.36
1935-1939       14           6152788.93      6229685.23     12382474.15
1935-1939       15           6150597.80      6198013.38     12348611.17
1935-1939       16           6114526.01      6127807.43     12242333.45
1935-1939       17           6052300.82      6028073.82     12080374.63
1935-1939       18           5981908.46      5917356.80     11899265.26
1935-1939       19           5918899.53      5818531.04     11737430.57
1935-1939       20           5866733.87      5738628.28     11605362.15
1935-1939       21           5824216.86      5677209.22     11501426.08
1935-1939       22           5786660.26      5629115.90     11415776.16
1935-1939       23           5746052.50      5583505.50     11329558.01
1935-1939       24           5695638.24      5531029.02     11226667.26
1935-1939       25           5633313.30      5468729.71     11102043.01
1935-1939       26           5558226.04      5396465.85     10954691.89
1935-1939       27           5472298.11      5316531.68     10788829.79
1935-1939       28           5379333.35      5233255.59     10612588.94
1935-1939       29           5284118.51      5150753.29     10434871.80
1935-1939       30           5190296.90      5070881.39     10261178.29
1935-1939       31           5101277.98      4995454.00     10096731.98
1935-1939       32           5017446.10      4924227.58      9941673.68
1935-1939       33           4936456.66      4855550.47      9792007.13
1935-1939       34           4854795.54      4787477.44      9642272.98
1935-1939       35           4770353.72      4719048.70      9489402.42
1935-1939       36           4681731.64      4649443.56      9331175.20
1935-1939       37           4593437.76      4582992.62      9176430.38
1935-1939       38           4513139.75      4526588.34      9039728.08
1935-1939       39           4446481.61      4484280.10      8930761.70
1935-1939       40           4394263.29      4457986.09      8852249.38
1935-1939       41           4353652.16      4442358.52      8796010.68
1935-1939       42           4314897.47      4428450.92      8743348.39
1935-1939       43           4264826.88      4403145.61      8667972.49
1935-1939       44           4194664.18      4357957.89      8552622.06
1935-1939       45           4103445.70      4291668.19      8395113.89
1935-1939       46           3995278.01      4208327.55      8203605.57
1935-1939       47           3876782.28      4112827.36      7989609.64
1935-1939       48           3755629.53      4010268.97      7765898.50
1935-1939       49           3635865.69      3902545.21      7538410.90
1935-1939       50           3516354.65      3787379.26      7303733.91
1935-1939       51           3395255.00      3663395.19      7058650.20
1935-1939       52           3271879.72      3530902.18      6802781.90
1935-1939       53           3148460.07      3394443.18      6542903.25
1935-1939       54           3028463.65      3259364.77      6287828.42
1935-1939       55           2914964.04      3129283.48      6044247.52
1935-1939       56           2808965.74      3005440.04      5814405.77
1935-1939       57           2709336.00      2886730.49      5596066.48
1935-1939       58           2612238.85      2769703.83      5381942.68
1935-1939       59           2514458.65      2651720.24      5166178.89
1935-1939       60           2415731.29      2533409.30      4949140.59
1935-1939       61           2316379.05      2415413.55      4731792.60
1935-1939       62           2217826.20      2299734.65      4517560.84
1935-1939       63           2120442.92      2186961.72      4307404.64
1935-1939       64           2023266.96      2076226.43      4099493.40
1935-1939       65           1924209.53      1965721.56      3889931.09
1935-1939       66           1821708.64      1853749.91      3675458.55
1935-1939       67           1715044.44      1739164.74      3454209.18
1935-1939       68           1605735.45      1622318.58      3228054.03
1935-1939       69           1495344.86      1504552.96      2999897.81
1935-1939       70           1385486.36      1386606.60      2772092.96
1935-1939       71           1278220.32      1270419.37      2548639.69
1935-1939       72           1174249.86      1157202.44      2331452.29
1935-1939       73           1074711.25      1049082.88      2123794.12
1935-1939       74            980255.13       947480.04      1927735.17
1935-1939       75            908720.81       868284.89      1777005.69
1935-1939       76            828056.88       782858.21      1610915.09
1935-1939       77            746866.18       698260.27      1445126.44
1935-1939       78            664856.25       614304.65      1279160.90
1935-1939       79            583651.49       532446.44      1116097.93
1935-1939       80            529153.67       463692.32       992845.99
1935-1939       81            453212.42       390879.50       844091.92
1935-1939       82            383527.44       324846.49       708373.93
1935-1939       83            320677.99       266198.44       586876.42
1935-1939       84            265301.38       215360.20       480661.58
1935-1939       85            217389.86       172135.96       389525.82
1935-1939       86            176543.67       136186.30       312729.98
1935-1939       87            141774.20       106462.70       248236.89
1935-1939       88            112315.41        82076.63       194392.05
1935-1939       89             87563.41        62256.73       149820.14
1935-1939       90             67087.25        46381.56       113468.81
1935-1939       91             50740.14        34117.01        84857.15
1935-1939       92             37916.83        24845.44        62762.27
1935-1939       93             28094.50        18018.76        46113.26
1935-1939       94             20712.37        13064.47        33776.84
1935-1939       95             15152.22         9426.41        24578.64
1935-1939       96             11054.43         6778.88        17833.31
1935-1939       97              8096.57         4862.15        12958.72
1935-1939       98              5973.36         3491.32         9464.68
1935-1939       99              4404.19         2501.83         6906.02
1935-1939      100              3095.53         1720.15         4815.68
1935-1939      101              2093.04         1138.67         3231.71
1935-1939      102              1403.19          744.51         2147.70
1935-1939      103               931.36          483.48         1414.85
1935-1939      104               613.29          312.63          925.92
1935-1939      105               397.36          198.59          595.95
1935-1939      106               251.74          122.77          374.51
1935-1939      107               155.97           74.16          230.13
1935-1939      108                94.47           43.36          137.83
1935-1939      109                56.05           23.88           79.93
1935-1939      110+               70.33           20.80           91.13
1940-1944        0           5739558.25      6015400.70     11754958.95
1940-1944        1           5603603.23      5803640.71     11407243.93
1940-1944        2           5758419.53      5933319.83     11691739.36
1940-1944        3           5612472.94      5770635.82     11383108.76
1940-1944        4           5464888.85      5625697.68     11090586.53
1940-1944        5           5352879.88      5516361.59     10869241.47
1940-1944        6           5240310.51      5388032.51     10628343.03
1940-1944        7           5166705.20      5301108.61     10467813.80
1940-1944        8           5131130.86      5258154.45     10389285.31
1940-1944        9           5132051.08      5266356.11     10398407.20
1940-1944       10           5298156.58      5485744.10     10783900.67
1940-1944       11           5451184.14      5650864.12     11102048.25
1940-1944       12           5601735.66      5801543.18     11403278.84
1940-1944       13           5751041.05      5937027.54     11688068.59
1940-1944       14           5886188.22      6049055.72     11935243.93
1940-1944       15           5974683.85      6068776.15     12043460.00
1940-1944       16           6023940.64      6075391.04     12099331.68
1940-1944       17           6062308.28      6086402.58     12148710.86
1940-1944       18           6081061.64      5602425.45     11683487.09
1940-1944       19           6077951.03      5338987.18     11416938.21
1940-1944       20           6028186.95      5243085.97     11271272.92
1940-1944       21           6000101.17      5196881.93     11196983.10
1940-1944       22           5958796.23      5146103.20     11104899.43
1940-1944       23           5914620.74      5105027.02     11019647.75
1940-1944       24           5874339.43      5095611.89     10969951.32
1940-1944       25           5877795.63      5130805.99     11008601.61
1940-1944       26           5838152.11      5143120.36     10981272.46
1940-1944       27           5789989.98      5149488.61     10939478.59
1940-1944       28           5729810.64      5146106.51     10875917.15
1940-1944       29           5655285.72      5124952.68     10780238.40
1940-1944       30           5531394.84      5060234.34     10591629.18
1940-1944       31           5428601.43      5002151.07     10430752.50
1940-1944       32           5328677.61      4944463.92     10273141.53
1940-1944       33           5235198.12      4890464.89     10125663.01
1940-1944       34           5151601.90      4843075.69      9994677.59
1940-1944       35           5113262.28      4824060.18      9937322.46
1940-1944       36           5057794.77      4797904.07      9855698.84
1940-1944       37           4992988.21      4764958.03      9757946.24
1940-1944       38           4917100.71      4724114.50      9641215.21
1940-1944       39           4830576.90      4676510.90      9507087.80
1940-1944       40           4713956.69      4620236.23      9334192.92
1940-1944       41           4615063.77      4570141.04      9185204.81
1940-1944       42           4526317.65      4519435.29      9045752.94
1940-1944       43           4447174.03      4468555.16      8915729.19
1940-1944       44           4375867.45      4417424.56      8793292.01
1940-1944       45           4324978.26      4376899.67      8701877.92
1940-1944       46           4262136.56      4334624.66      8596761.22
1940-1944       47           4194430.93      4291483.86      8485914.80
1940-1944       48           4119254.13      4242774.35      8362028.48
1940-1944       49           4035051.07      4185124.00      8220175.07
1940-1944       50           3907850.48      4082795.86      7990646.34
1940-1944       51           3777944.48      3964738.63      7742683.11
1940-1944       52           3650617.63      3846145.34      7496762.97
1940-1944       53           3524655.16      3724363.98      7249019.14
1940-1944       54           3397599.29      3596156.43      6993755.71
1940-1944       55           3269890.10      3448824.60      6718714.70
1940-1944       56           3138020.38      3300831.52      6438851.90
1940-1944       57           3005048.39      3149716.32      6154764.71
1940-1944       58           2875414.18      3001299.89      5876714.08
1940-1944       59           2752202.34      2859540.08      5611742.41
1940-1944       60           2665220.34      2759816.83      5425037.17
1940-1944       61           2588645.05      2664431.11      5253076.16
1940-1944       62           2505788.99      2560784.28      5066573.27
1940-1944       63           2416631.93      2449758.64      4866390.56
1940-1944       64           2323081.41      2333945.55      4657026.96
1940-1944       65           2225850.95      2216007.96      4441858.91
1940-1944       66           2121821.74      2099200.16      4221021.89
1940-1944       67           2019975.31      1986025.39      4006000.70
1940-1944       68           1916510.02      1873293.65      3789803.66
1940-1944       69           1807490.11      1757960.73      3565450.84
1940-1944       70           1666678.05      1620111.00      3286789.05
1940-1944       71           1522766.26      1475752.83      2998519.09
1940-1944       72           1386567.29      1338650.24      2725217.53
1940-1944       73           1259429.24      1209666.95      2469096.20
1940-1944       74           1142111.58      1089303.54      2231415.12
1940-1944       75           1039440.20       973991.15      2013431.36
1940-1944       76            941878.11       868298.61      1810176.72
1940-1944       77            843886.50       765681.26      1609567.76
1940-1944       78            746317.96       666809.11      1413127.07
1940-1944       79            652058.66       573903.41      1225962.07
1940-1944       80            616541.70       519232.02      1135773.72
1940-1944       81            540677.61       448212.43       988890.05
1940-1944       82            467825.66       381372.76       849198.42
1940-1944       83            397620.05       318413.63       716033.67
1940-1944       84            331173.71       260274.76       591448.47
1940-1944       85            270771.31       208492.98       479264.29
1940-1944       86            218150.74       164294.19       382444.92
1940-1944       87            172884.13       127130.48       300014.61
1940-1944       88            134566.78        96520.02       231086.79
1940-1944       89            103111.02        72045.07       175156.09
1940-1944       90             78060.02        53003.13       131063.15
1940-1944       91             58718.06        38721.66        97439.72
1940-1944       92             43896.38        28179.06        72075.44
1940-1944       93             32615.26        20491.52        53106.77
1940-1944       94             24009.45        14859.88        38869.33
1940-1944       95             17413.45        10651.40        28064.85
1940-1944       96             12510.20         7567.04        20077.24
1940-1944       97              8942.75         5356.05        14298.81
1940-1944       98              6431.25         3825.08        10256.33
1940-1944       99              4665.74         2755.57         7421.31
1940-1944      100              3235.38         1902.32         5137.70
1940-1944      101              2147.24         1254.53         3401.77
1940-1944      102              1412.51          814.86         2227.38
1940-1944      103               913.57          518.22         1431.79
1940-1944      104               579.25          322.34          901.59
1940-1944      105               363.56          197.57          561.13
1940-1944      106               227.87          119.89          347.76
1940-1944      107               143.06           71.07          214.13
1940-1944      108                90.81           41.91          132.73
1940-1944      109                58.11           26.05           84.16
1940-1944      110+               89.21           39.26          128.47
1945-1949        0           7184540.43      7527878.73     14712419.16
1945-1949        1           7054806.78      7354931.90     14409738.68
1945-1949        2           7222424.45      7456501.59     14678926.04
1945-1949        3           6834634.13      7050854.89     13885489.02
1945-1949        4           6617502.38      6872532.36     13490034.75
1945-1949        5           6253050.92      6472080.25     12725131.17
1945-1949        6           6010891.66      6215511.77     12226403.42
1945-1949        7           5704388.46      5892978.24     11597366.70
1945-1949        8           5492263.91      5659790.96     11152054.87
1945-1949        9           5349660.67      5510526.54     10860187.21
1945-1949       10           5382166.10      5587975.66     10970141.75
1945-1949       11           5289866.55      5493964.78     10783831.33
1945-1949       12           5255805.92      5455522.96     10711328.87
1945-1949       13           5282574.11      5482559.79     10765133.90
1945-1949       14           5352352.94      5539780.28     10892133.22
1945-1949       15           5435961.69      5564209.19     11000170.88
1945-1949       16           5535657.70      5623817.77     11159475.47
1945-1949       17           5631234.98      5667638.89     11298873.87
1945-1949       18           5708295.65      4774244.29     10482539.94
1945-1949       19           5755148.98      4787453.33     10542602.31
1945-1949       20           5786394.86      4872858.24     10659253.09
1945-1949       21           5885481.46      5023049.41     10908530.87
1945-1949       22           5973302.31      5174007.91     11147310.22
1945-1949       23           6053009.36      5323593.03     11376602.40
1945-1949       24           6116496.66      5445767.62     11562264.27
1945-1949       25           6190126.88      5544104.61     11734231.49
1945-1949       26           6161747.41      5546339.04     11708086.45
1945-1949       27           6098481.09      5508748.66     11607229.75
1945-1949       28           6010229.22      5441303.19     11451532.41
1945-1949       29           5924729.25      5379170.35     11303899.60
1945-1949       30           5795554.87      5297945.23     11093500.10
1945-1949       31           5728072.95      5276250.99     11004323.94
1945-1949       32           5677417.09      5261717.30     10939134.39
1945-1949       33           5636317.93      5249271.06     10885588.99
1945-1949       34           5587014.08      5219070.11     10806084.19
1945-1949       35           5564544.49      5197608.50     10762152.99
1945-1949       36           5502066.32      5170729.79     10672796.11
1945-1949       37           5424967.27      5133197.96     10558165.23
1945-1949       38           5344084.30      5094319.82     10438404.12
1945-1949       39           5264236.00      5056348.14     10320584.14
1945-1949       40           5152388.47      4999025.66     10151414.13
1945-1949       41           5022901.75      4917376.11      9940277.86
1945-1949       42           4901650.61      4833845.90      9735496.51
1945-1949       43           4789721.53      4751853.15      9541574.68
1945-1949       44           4689550.84      4674799.07      9364349.91
1945-1949       45           4614573.88      4608949.71      9223523.59
1945-1949       46           4534738.63      4531612.11      9066350.74
1945-1949       47           4461367.63      4462478.89      8923846.52
1945-1949       48           4386452.27      4396423.09      8782875.36
1945-1949       49           4302679.71      4327369.61      8630049.32
1945-1949       50           4199659.14      4248506.98      8448166.13
1945-1949       51           4095758.73      4156480.73      8252239.46
1945-1949       52           3982080.04      4051563.62      8033643.66
1945-1949       53           3861603.12      3933753.43      7795356.54
1945-1949       54           3738167.66      3806782.80      7544950.47
1945-1949       55           3620953.52      3674920.46      7295873.97
1945-1949       56           3508469.55      3567338.94      7075808.49
1945-1949       57           3390065.70      3453176.14      6843241.85
1945-1949       58           3266970.38      3332287.30      6599257.67
1945-1949       59           3138045.18      3202185.70      6340230.87
1945-1949       60           3013179.01      3077934.50      6091113.50
1945-1949       61           2922956.54      2969535.71      5892492.25
1945-1949       62           2841077.75      2862957.95      5704035.69
1945-1949       63           2763653.01      2758113.41      5521766.43
1945-1949       64           2687073.50      2654302.29      5341375.80
1945-1949       65           2606919.08      2542743.65      5149662.72
1945-1949       66           2484753.42      2400499.35      4885252.77
1945-1949       67           2352027.20      2255162.37      4607189.57
1945-1949       68           2213600.30      2109083.92      4322684.21
1945-1949       69           2078065.28      1968776.29      4046841.57
1945-1949       70           1932448.51      1825639.42      3758087.93
1945-1949       71           1782097.42      1676330.02      3458427.43
1945-1949       72           1637526.77      1531566.23      3169093.00
1945-1949       73           1496197.72      1389540.47      2885738.19
1945-1949       74           1353688.99      1247108.06      2600797.05
1945-1949       75           1220987.28      1110877.94      2331865.22
1945-1949       76           1114837.88      1001187.01      2116024.88
1945-1949       77           1013638.77       897512.60      1911151.37
1945-1949       78            917853.22       800602.02      1718455.25
1945-1949       79            825001.22       708779.85      1533781.07
1945-1949       80            746891.77       609076.99      1355968.76
1945-1949       81            644291.98       516640.19      1160932.17
1945-1949       82            551385.12       434504.24       985889.36
1945-1949       83            468130.33       361911.17       830041.50
1945-1949       84            395278.20       299148.33       694426.54
1945-1949       85            331701.26       245525.55       577226.80
1945-1949       86            275377.01       199347.33       474724.34
1945-1949       87            224566.87       158644.42       383211.29
1945-1949       88            178587.52       122817.86       301405.38
1945-1949       89            137929.00        92177.79       230106.79
1945-1949       90            103980.13        67408.02       171388.14
1945-1949       91             77430.34        48694.49       126124.82
1945-1949       92             56879.84        34801.76        91681.60
1945-1949       93             41094.23        24656.86        65751.09
1945-1949       94             29350.37        17430.54        46780.91
1945-1949       95             20878.52        12294.36        33172.88
1945-1949       96             14925.35         8699.53        23624.87
1945-1949       97             10762.14         6203.57        16965.70
1945-1949       98              7847.52         4474.67        12322.20
1945-1949       99              5700.45         3210.98         8911.42
1945-1949      100              3935.02         2193.88         6128.89
1945-1949      101              2621.02         1452.34         4073.36
1945-1949      102              1743.68          963.96         2707.65
1945-1949      103              1157.33          642.15         1799.48
1945-1949      104               764.44          426.51         1190.96
1945-1949      105               499.79          281.95          781.75
1945-1949      106               324.15          185.35          509.50
1945-1949      107               212.56          121.83          334.40
1945-1949      108               141.74           80.06          221.80
1945-1949      109                95.17           51.09          146.26
1945-1949      110+              249.78          103.39          353.17
1950-1954        0           8395835.51      8706474.53     17102310.04
1950-1954        1           8406602.36      8769648.89     17176251.26
1950-1954        2           8617989.72      8907036.41     17525026.13
1950-1954        3           8680302.15      8972461.73     17652763.88
1950-1954        4           8259176.72      8613668.87     16872845.59
1950-1954        5           7807311.28      8097989.52     15905300.80
1950-1954        6           7477075.51      7749943.70     15227019.20
1950-1954        7           7213470.58      7523325.98     14736796.56
1950-1954        8           6710211.94      6950451.12     13660663.06
1950-1954        9           6536148.83      6771848.05     13307996.88
1950-1954       10           6416173.21      6675517.75     13091690.97
1950-1954       11           6170233.48      6409593.41     12579826.89
1950-1954       12           5856554.13      6073407.59     11929961.72
1950-1954       13           5631962.19      5824227.70     11456189.89
1950-1954       14           5515769.14      5693157.53     11208926.67
1950-1954       15           5362739.71      5444191.39     10806931.10
1950-1954       16           5293255.48      5370767.68     10664023.16
1950-1954       17           5253225.33      5335795.48     10589020.81
1950-1954       18           5255001.65      5064548.68     10319550.33
1950-1954       19           5262364.47      4988125.29     10250489.76
1950-1954       20           5345788.48      4854503.57     10200292.04
1950-1954       21           5520773.81      4896392.18     10417165.99
1950-1954       22           5597876.17      4888687.06     10486563.23
1950-1954       23           5821397.55      5165586.24     10986983.79
1950-1954       24           5922401.83      5362145.41     11284547.24
1950-1954       25           5956743.92      5543826.76     11500570.68
1950-1954       26           6158694.64      5846382.15     12005076.79
1950-1954       27           6316544.55      6053948.52     12370493.07
1950-1954       28           6126310.67      5808485.56     11934796.23
1950-1954       29           6198685.40      5868948.98     12067634.38
1950-1954       30           6267515.76      5931946.64     12199462.40
1950-1954       31           6193772.08      5891555.62     12085327.70
1950-1954       32           6022931.69      5687024.12     11709955.81
1950-1954       33           6037070.96      5717708.46     11754779.42
1950-1954       34           6006472.32      5720135.94     11726608.26
1950-1954       35           5915045.84      5642779.34     11557825.17
1950-1954       36           5912456.24      5658965.74     11571421.98
1950-1954       37           5884801.98      5650568.40     11535370.38
1950-1954       38           5806855.26      5581327.97     11388183.23
1950-1954       39           5696898.59      5509167.43     11206066.02
1950-1954       40           5546497.12      5375650.69     10922147.80
1950-1954       41           5437146.67      5309062.82     10746209.50
1950-1954       42           5327513.45      5219296.16     10546809.61
1950-1954       43           5229353.52      5136745.01     10366098.54
1950-1954       44           5128874.43      5042570.91     10171445.34
1950-1954       45           5045881.32      4957436.55     10003317.86
1950-1954       46           4887320.57      4806510.43      9693831.01
1950-1954       47           4781484.25      4711747.01      9493231.25
1950-1954       48           4710833.14      4667680.62      9378513.77
1950-1954       49           4490398.23      4454918.49      8945316.72
1950-1954       50           4394925.32      4359987.85      8754913.16
1950-1954       51           4343369.38      4301781.36      8645150.73
1950-1954       52           4256382.26      4216049.14      8472431.40
1950-1954       53           4118797.69      4079595.85      8198393.54
1950-1954       54           4005728.44      3969049.69      7974778.12
1950-1954       55           3928812.50      3888554.75      7817367.26
1950-1954       56           3827428.02      3788281.20      7615709.21
1950-1954       57           3738443.13      3699885.36      7438328.49
1950-1954       58           3707147.43      3669001.95      7376149.38
1950-1954       59           3633716.32      3590628.20      7224344.52
1950-1954       60           3455240.29      3411000.74      6866241.03
1950-1954       61           3318969.10      3275686.14      6594655.24
1950-1954       62           3223382.46      3169829.16      6393211.63
1950-1954       63           3121847.86      3046520.06      6168367.92
1950-1954       64           3012823.40      2914180.96      5927004.37
1950-1954       65           2928790.51      2800778.40      5729568.90
1950-1954       66           2859420.30      2690156.67      5549576.96
1950-1954       67           2782770.57      2583773.16      5366543.73
1950-1954       68           2637927.22      2421074.35      5059001.57
1950-1954       69           2493728.35      2275056.54      4768784.89
1950-1954       70           2307285.99      2088711.06      4395997.05
1950-1954       71           2116726.43      1907182.94      4023909.38
1950-1954       72           1915655.77      1722400.39      3638056.16
1950-1954       73           1766426.83      1578585.43      3345012.26
1950-1954       74           1611643.82      1426362.54      3038006.36
1950-1954       75           1490406.51      1307439.76      2797846.27
1950-1954       76           1365422.87      1185058.11      2550480.98
1950-1954       77           1242067.14      1066161.66      2308228.80
1950-1954       78           1128047.87       953162.19      2081210.06
1950-1954       79           1013060.32       840529.19      1853589.51
1950-1954       80            933153.41       730850.13      1664003.54
1950-1954       81            819184.62       630280.30      1449464.92
1950-1954       82            710156.57       535645.71      1245802.28
1950-1954       83            608318.73       449329.10      1057647.83
1950-1954       84            511847.13       370852.08       882699.21
1950-1954       85            420582.81       298688.69       719271.49
1950-1954       86            341219.63       236674.53       577894.16
1950-1954       87            274394.40       185418.94       459813.33
1950-1954       88            219047.52       144266.89       363314.41
1950-1954       89            174079.06       111631.70       285710.76
1950-1954       90            136226.09        85144.43       221370.52
1950-1954       91            104637.72        63768.29       168406.01
1950-1954       92             78763.80        46499.11       125262.91
1950-1954       93             57461.10        32795.20        90256.30
1950-1954       94             40679.47        22571.51        63250.98
1950-1954       95             28058.82        15258.05        43316.87
1950-1954       96             19200.55        10248.67        29449.22
1950-1954       97             13040.14         6878.88        19919.02
1950-1954       98              8794.96         4621.38        13416.34
1950-1954       99              6114.39         3212.04         9326.43
1950-1954      100              4303.52         2257.32         6560.84
1950-1954      101              2976.08         1571.31         4547.39
1950-1954      102              2091.28         1115.05         3206.33
1950-1954      103              1475.28          782.72         2258.00
1950-1954      104              1037.92          552.20         1590.12
1950-1954      105               728.93          395.71         1124.64
1950-1954      106               542.88          301.30          844.18
1950-1954      107               427.22          237.12          664.34
1950-1954      108               318.92          184.44          503.36
1950-1954      109               235.09          147.16          382.25
1950-1954      110+              738.61          414.30         1152.91
1955-1959        0           9721346.37     10072373.96     19793720.32
1955-1959        1           9628218.45      9989060.86     19617279.30
1955-1959        2           9551358.36      9878909.40     19430267.76
